# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p800
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:10:06.198715
# Alpha: 0.8
# Length cost: 0.9643500386059808
# Obstacle cost: 7.839883339006225
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
0.0000,0.000000,-0.500000,0.000000,2.500000,0.000000,1.000000,-1.570000
0.1000,0.002779,-0.501281,0.005719,2.504136,0.005292,1.015845,-1.569999
0.2000,0.005557,-0.502562,0.011438,2.508272,0.010584,1.031691,-1.569999
0.3000,0.008336,-0.503842,0.017157,2.512408,0.015876,1.047536,-1.569998
0.4000,0.011115,-0.505123,0.022876,2.516544,0.021168,1.063381,-1.569998
0.5000,0.013893,-0.506404,0.028595,2.520680,0.026460,1.079227,-1.569997
0.6000,0.016503,-0.507821,0.034251,2.524036,0.031538,1.093953,-1.569997
0.7000,0.019112,-0.509238,0.039906,2.527391,0.036616,1.108678,-1.569996
0.8000,0.021722,-0.510655,0.045562,2.530746,0.041695,1.123404,-1.569996
0.9000,0.024331,-0.512073,0.051218,2.534102,0.046773,1.138130,-1.569996
1.0000,0.026940,-0.513490,0.056873,2.537457,0.051851,1.152856,-1.569995
1.1000,0.029378,-0.515058,0.062467,2.540066,0.056699,1.166444,-1.569995
1.2000,0.031816,-0.516627,0.068060,2.542674,0.061547,1.180033,-1.569995
1.3000,0.034254,-0.518195,0.073654,2.545283,0.066396,1.193621,-1.569994
1.4000,0.036692,-0.519763,0.079247,2.547891,0.071244,1.207210,-1.569994
1.5000,0.039130,-0.521332,0.084841,2.550500,0.076092,1.220798,-1.569993
1.6000,0.041394,-0.523064,0.090373,2.552402,0.080692,1.233230,-1.569993
1.7000,0.043658,-0.524797,0.095906,2.554305,0.085292,1.245662,-1.569993
1.8000,0.045922,-0.526530,0.101438,2.556207,0.089892,1.258093,-1.569992
1.9000,0.048186,-0.528262,0.106971,2.558109,0.094492,1.270525,-1.569992
2.0000,0.050450,-0.529995,0.112503,2.560011,0.099092,1.282956,-1.569991
2.1000,0.052539,-0.531903,0.117976,2.561254,0.103423,1.294210,-1.569991
2.2000,0.054628,-0.533810,0.123449,2.562497,0.107753,1.305463,-1.569991
2.3000,0.056717,-0.535718,0.128922,2.563740,0.112084,1.316717,-1.569990
2.4000,0.058806,-0.537626,0.134395,2.564983,0.116414,1.327970,-1.569990
2.5000,0.060895,-0.539534,0.139867,2.566226,0.120745,1.339224,-1.569990
2.6000,0.062808,-0.541625,0.145283,2.566867,0.124782,1.349276,-1.569989
2.7000,0.064720,-0.543716,0.150698,2.567509,0.128819,1.359328,-1.569989
2.8000,0.066633,-0.545807,0.156113,2.568150,0.132855,1.369380,-1.569989
2.9000,0.068546,-0.547898,0.161528,2.568791,0.136892,1.379432,-1.569989
3.0000,0.070459,-0.549990,0.166943,2.569432,0.140929,1.389484,-1.569989
3.1000,0.072195,-0.552270,0.172302,2.569546,0.144644,1.398308,-1.569988
3.2000,0.073932,-0.554551,0.177661,2.569659,0.148359,1.407132,-1.569988
3.3000,0.075668,-0.556832,0.183020,2.569773,0.152075,1.415956,-1.569988
3.4000,0.077405,-0.559112,0.188380,2.569886,0.155790,1.424780,-1.569988
3.5000,0.079141,-0.561393,0.193739,2.570000,0.159505,1.433604,-1.569988
3.6000,0.080702,-0.563866,0.199044,2.569686,0.162866,1.441170,-1.569988
3.7000,0.082264,-0.566339,0.204350,2.569372,0.166228,1.448737,-1.569988
3.8000,0.083825,-0.568812,0.209655,2.569058,0.169589,1.456303,-1.569988
3.9000,0.085386,-0.571285,0.214961,2.568744,0.172950,1.463869,-1.569988
4.0000,0.086948,-0.573757,0.220266,2.568430,0.176311,1.471436,-1.569988
4.1000,0.088342,-0.576416,0.225522,2.567707,0.179290,1.477745,-1.569988
4.2000,0.089736,-0.579074,0.230779,2.566984,0.182269,1.484054,-1.569989
4.3000,0.091130,-0.581732,0.236035,2.566260,0.185248,1.490363,-1.569989
4.4000,0.092524,-0.584390,0.241291,2.565537,0.188226,1.496671,-1.569989
4.5000,0.093918,-0.587048,0.246547,2.564813,0.191205,1.502980,-1.569989
4.6000,0.095155,-0.589877,0.251758,2.563726,0.193767,1.508025,-1.569989
4.7000,0.096391,-0.592707,0.256969,2.562639,0.196328,1.513070,-1.569989
4.8000,0.097628,-0.595536,0.262181,2.561552,0.198890,1.518115,-1.569989
4.9000,0.098865,-0.598366,0.267392,2.560465,0.201451,1.523160,-1.569990
5.0000,0.100102,-0.601195,0.272603,2.559378,0.204013,1.528205,-1.569990
5.1000,0.101196,-0.604168,0.277771,2.558011,0.206118,1.531973,-1.569990
5.2000,0.102290,-0.607140,0.282939,2.556644,0.208224,1.535741,-1.569990
5.3000,0.103385,-0.610112,0.288107,2.555277,0.210330,1.539508,-1.569991
5.4000,0.104479,-0.613084,0.293275,2.553910,0.212436,1.543276,-1.569991
5.5000,0.105573,-0.616057,0.298444,2.552543,0.214542,1.547044,-1.569991
