# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p750
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:10:34.070512
# Alpha: 0.75
# Length cost: 1.7820821228383277
# Obstacle cost: 5.605009735478743
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
0.0000,0.000000,-0.500000,0.000000,2.500000,0.000000,1.000000,-1.570000
0.1000,0.009775,-0.493574,0.008371,2.504600,0.009714,1.008808,-1.570000
0.2000,0.019549,-0.487148,0.016742,2.509200,0.019428,1.017615,-1.570000
0.3000,0.029324,-0.480723,0.025112,2.513801,0.029142,1.026423,-1.570000
0.4000,0.039098,-0.474297,0.033483,2.518401,0.038856,1.035230,-1.569999
0.5000,0.048873,-0.467871,0.041854,2.523001,0.048570,1.044038,-1.569999
0.6000,0.058935,-0.461253,0.050531,2.526670,0.058704,1.052007,-1.569999
0.7000,0.068998,-0.454635,0.059207,2.530339,0.068838,1.059976,-1.569999
0.8000,0.079060,-0.448017,0.067884,2.534008,0.078972,1.067945,-1.569999
0.9000,0.089123,-0.441398,0.076561,2.537678,0.089106,1.075914,-1.569999
1.0000,0.099185,-0.434780,0.085237,2.541347,0.099240,1.083883,-1.569999
1.1000,0.109485,-0.428011,0.094175,2.544091,0.109761,1.090953,-1.569999
1.2000,0.119786,-0.421243,0.103112,2.546835,0.120282,1.098023,-1.569999
1.3000,0.130086,-0.414474,0.112049,2.549580,0.130803,1.105093,-1.569999
1.4000,0.140386,-0.407705,0.120986,2.552324,0.141324,1.112163,-1.569999
1.5000,0.150687,-0.400936,0.129923,2.555068,0.151845,1.119234,-1.569999
1.6000,0.161018,-0.394148,0.138943,2.556891,0.162520,1.125265,-1.569999
1.7000,0.171350,-0.387360,0.147963,2.558715,0.173195,1.131296,-1.569999
1.8000,0.181682,-0.380572,0.156983,2.560538,0.183870,1.137327,-1.569999
1.9000,0.192013,-0.373784,0.166003,2.562361,0.194545,1.143358,-1.569999
2.0000,0.202345,-0.366995,0.175023,2.564184,0.205220,1.149390,-1.569998
2.1000,0.212585,-0.360261,0.184020,2.565149,0.215882,1.154320,-1.569998
2.2000,0.222824,-0.353527,0.193018,2.566114,0.226545,1.159251,-1.569998
