# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p030
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:07:36.761628
# Alpha: 0.03
# Length cost: 2.175323241741884
# Obstacle cost: 4.884968201506007
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
0.0000,0.000000,-0.500000,0.000000,2.500000,0.000000,1.000000,-1.570000
0.1000,0.011939,-0.492614,0.009730,2.504802,0.007185,1.005791,-1.570000
0.2000,0.023879,-0.485227,0.019460,2.509604,0.014370,1.011583,-1.570000
0.3000,0.035818,-0.477841,0.029190,2.514405,0.021555,1.017374,-1.570000
0.4000,0.047758,-0.470455,0.038919,2.519207,0.028740,1.023165,-1.570000
0.5000,0.059697,-0.463068,0.048649,2.524009,0.035925,1.028956,-1.570000
0.6000,0.071977,-0.455441,0.058668,2.527801,0.043109,1.033921,-1.570000
0.7000,0.084258,-0.447814,0.068688,2.531593,0.050293,1.038886,-1.570000
0.8000,0.096538,-0.440186,0.078707,2.535386,0.057477,1.043851,-1.570000
0.9000,0.108818,-0.432559,0.088726,2.539178,0.064661,1.048816,-1.570000
1.0000,0.121098,-0.424931,0.098745,2.542970,0.071845,1.053781,-1.570000
1.1000,0.133660,-0.417092,0.108998,2.545755,0.078994,1.057871,-1.570000
1.2000,0.146222,-0.409252,0.119252,2.548541,0.086143,1.061961,-1.570000
1.3000,0.158785,-0.401412,0.129505,2.551326,0.093292,1.066051,-1.570000
1.4000,0.171347,-0.393572,0.139758,2.554111,0.100441,1.070141,-1.570000
1.5000,0.183909,-0.385733,0.150012,2.556897,0.107590,1.074230,-1.570000
1.6000,0.196691,-0.377709,0.160440,2.558688,0.114679,1.077396,-1.570000
1.7000,0.209473,-0.369684,0.170869,2.560478,0.121768,1.080562,-1.570000
1.8000,0.222256,-0.361660,0.181297,2.562269,0.128857,1.083728,-1.570000
1.9000,0.235038,-0.353636,0.191725,2.564060,0.135946,1.086893,-1.570000
2.0000,0.247820,-0.345612,0.202153,2.565851,0.143035,1.090059,-1.570000
2.1000,0.260762,-0.337417,0.212702,2.566681,0.150005,1.092248,-1.570000
2.2000,0.273704,-0.329222,0.223250,2.567510,0.156976,1.094438,-1.570000
2.3000,0.286646,-0.321026,0.233799,2.568340,0.163946,1.096627,-1.570000
2.4000,0.299589,-0.312831,0.244347,2.569170,0.170916,1.098816,-1.570000
2.5000,0.312531,-0.304636,0.254896,2.570000,0.177887,1.101006,-1.570000
2.6000,0.325573,-0.296274,0.265509,2.569926,0.184667,1.102163,-1.570000
2.7000,0.338616,-0.287912,0.276123,2.569852,0.191447,1.103321,-1.570000
2.8000,0.351658,-0.279550,0.286737,2.569778,0.198227,1.104479,-1.570000
2.9000,0.364701,-0.271188,0.297351,2.569704,0.205007,1.105636,-1.570000
3.0000,0.377743,-0.262826,0.307965,2.569630,0.211787,1.106794,-1.570000
3.1000,0.390818,-0.254313,0.318586,2.568604,0.218321,1.106967,-1.570000
3.2000,0.403894,-0.245800,0.329206,2.567578,0.224855,1.107140,-1.570000
