# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_1p000
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:00:39.267632
# Alpha: 1.0
# Length cost: 0.5262576001792093
# Obstacle cost: 21.732672838140928
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
0.0000,0.000000,-0.500000,0.000000,2.500000,0.000000,1.000000,-1.570000
0.1000,-0.000448,-0.494723,0.000015,2.498761,-0.000343,0.995797,-1.570000
0.2000,-0.000896,-0.489445,0.000030,2.497522,-0.000686,0.991594,-1.570000
0.3000,-0.001344,-0.484168,0.000045,2.496284,-0.001030,0.987391,-1.570000
0.4000,-0.001792,-0.478891,0.000060,2.495045,-0.001373,0.983188,-1.570000
0.5000,-0.002240,-0.473613,0.000075,2.493806,-0.001716,0.978986,-1.570000
0.6000,-0.002666,-0.468486,0.000019,2.492500,-0.002060,0.974814,-1.570000
0.7000,-0.003092,-0.463358,-0.000036,2.491194,-0.002404,0.970642,-1.570000
0.8000,-0.003517,-0.458230,-0.000091,2.489889,-0.002748,0.966470,-1.570000
0.9000,-0.003943,-0.453102,-0.000147,2.488583,-0.003091,0.962299,-1.570000
1.0000,-0.004369,-0.447974,-0.000202,2.487277,-0.003435,0.958127,-1.570000
1.1000,-0.004825,-0.442751,-0.000163,2.485794,-0.003798,0.954121,-1.570000
1.2000,-0.005282,-0.437528,-0.000123,2.484310,-0.004161,0.950115,-1.570000
1.3000,-0.005738,-0.432305,-0.000083,2.482827,-0.004523,0.946109,-1.570000
1.4000,-0.006195,-0.427082,-0.000043,2.481344,-0.004886,0.942103,-1.570000
1.5000,-0.006651,-0.421859,-0.000004,2.479861,-0.005248,0.938097,-1.570000
1.6000,-0.007067,-0.416671,-0.000060,2.478319,-0.005590,0.933939,-1.570000
1.7000,-0.007484,-0.411482,-0.000117,2.476777,-0.005932,0.929782,-1.570000
1.8000,-0.007900,-0.406294,-0.000173,2.475235,-0.006274,0.925624,-1.570000
1.9000,-0.008316,-0.401105,-0.000229,2.473693,-0.006616,0.921467,-1.570000
2.0000,-0.008733,-0.395917,-0.000286,2.472151,-0.006958,0.917309,-1.570000
2.1000,-0.009176,-0.390685,-0.000328,2.470406,-0.007281,0.913388,-1.570000
2.2000,-0.009619,-0.385452,-0.000370,2.468662,-0.007605,0.909466,-1.570000
2.3000,-0.010063,-0.380220,-0.000413,2.466917,-0.007928,0.905544,-1.570000
2.4000,-0.010506,-0.374988,-0.000455,2.465172,-0.008251,0.901622,-1.570000
2.5000,-0.010949,-0.369755,-0.000497,2.463428,-0.008575,0.897700,-1.570000
2.6000,-0.011361,-0.364690,-0.000571,2.461623,-0.008877,0.893908,-1.570000
2.7000,-0.011773,-0.359626,-0.000645,2.459818,-0.009179,0.890116,-1.570000
2.8000,-0.012185,-0.354561,-0.000719,2.458013,-0.009481,0.886323,-1.570000
2.9000,-0.012597,-0.349496,-0.000793,2.456209,-0.009783,0.882531,-1.570000
3.0000,-0.013009,-0.344431,-0.000866,2.454404,-0.010085,0.878739,-1.570000
3.1000,-0.013470,-0.339225,-0.000861,2.452406,-0.010404,0.874929,-1.570000
3.2000,-0.013931,-0.334018,-0.000855,2.450408,-0.010722,0.871119,-1.570000
3.3000,-0.014392,-0.328811,-0.000849,2.448410,-0.011041,0.867309,-1.570000
3.4000,-0.014853,-0.323605,-0.000843,2.446412,-0.011359,0.863499,-1.570000
3.5000,-0.015314,-0.318398,-0.000838,2.444413,-0.011678,0.859689,-1.570000
3.6000,-0.015705,-0.313579,-0.000912,2.442490,-0.011979,0.855853,-1.570000
3.7000,-0.016096,-0.308760,-0.000986,2.440567,-0.012280,0.852018,-1.570000
3.8000,-0.016486,-0.303941,-0.001060,2.438643,-0.012582,0.848183,-1.570000
3.9000,-0.016877,-0.299122,-0.001135,2.436720,-0.012883,0.844347,-1.570000
4.0000,-0.017268,-0.294303,-0.001209,2.434796,-0.013184,0.840512,-1.570000
4.1000,-0.017692,-0.289276,-0.001256,2.432663,-0.013469,0.836606,-1.570000
4.2000,-0.018116,-0.284248,-0.001304,2.430530,-0.013754,0.832700,-1.570000
4.3000,-0.018541,-0.279221,-0.001351,2.428397,-0.014039,0.828794,-1.570000
4.4000,-0.018965,-0.274194,-0.001399,2.426263,-0.014324,0.824889,-1.570000
4.5000,-0.019389,-0.269167,-0.001447,2.424130,-0.014609,0.820983,-1.570000
4.6000,-0.019818,-0.264105,-0.001501,2.421841,-0.014892,0.817065,-1.570000
4.7000,-0.020246,-0.259043,-0.001556,2.419551,-0.015175,0.813147,-1.570000
4.8000,-0.020674,-0.253981,-0.001610,2.417262,-0.015458,0.809229,-1.570000
4.9000,-0.021102,-0.248919,-0.001665,2.414972,-0.015741,0.805312,-1.570000
5.0000,-0.021531,-0.243857,-0.001719,2.412683,-0.016023,0.801394,-1.570000
5.1000,-0.021950,-0.238803,-0.001773,2.410285,-0.016289,0.797471,-1.570000
5.2000,-0.022370,-0.233750,-0.001826,2.407887,-0.016555,0.793548,-1.570000
5.3000,-0.022789,-0.228696,-0.001879,2.405489,-0.016821,0.789625,-1.570000
5.4000,-0.023209,-0.223642,-0.001933,2.403091,-0.017086,0.785702,-1.570000
