# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p100
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:08:36.079215
# Alpha: 0.1
# Length cost: 2.172365251657494
# Obstacle cost: 4.88517904053276
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
0.0000,0.000000,-0.500000,0.000000,2.500000,0.000000,1.000000,-1.570000
0.1000,0.011879,-0.492607,0.009703,2.504798,0.007245,1.005879,-1.570000
0.2000,0.023759,-0.485215,0.019406,2.509596,0.014491,1.011759,-1.570000
0.3000,0.035638,-0.477822,0.029110,2.514393,0.021736,1.017638,-1.570000
0.4000,0.047517,-0.470430,0.038813,2.519191,0.028981,1.023517,-1.570000
0.5000,0.059397,-0.463037,0.048516,2.523989,0.036226,1.029397,-1.570000
0.6000,0.071617,-0.455402,0.058510,2.527779,0.043478,1.034449,-1.570000
0.7000,0.083838,-0.447768,0.068505,2.531569,0.050730,1.039501,-1.570000
0.8000,0.096058,-0.440133,0.078499,2.535359,0.057982,1.044553,-1.570000
0.9000,0.108279,-0.432498,0.088494,2.539149,0.065235,1.049605,-1.570000
1.0000,0.120500,-0.424863,0.098488,2.542939,0.072487,1.054657,-1.570000
1.1000,0.133003,-0.417015,0.108719,2.545724,0.079711,1.058833,-1.570000
1.2000,0.145507,-0.409167,0.118950,2.548509,0.086936,1.063009,-1.570000
1.3000,0.158011,-0.401319,0.129181,2.551294,0.094161,1.067185,-1.570000
1.4000,0.170514,-0.393471,0.139412,2.554079,0.101386,1.071360,-1.570000
1.5000,0.183018,-0.385623,0.149643,2.556864,0.108610,1.075536,-1.570000
1.6000,0.195743,-0.377589,0.160052,2.558657,0.115781,1.078786,-1.570000
1.7000,0.208468,-0.369556,0.170461,2.560450,0.122952,1.082036,-1.570000
1.8000,0.221193,-0.361523,0.180869,2.562242,0.130123,1.085286,-1.570000
1.9000,0.233918,-0.353489,0.191278,2.564035,0.137293,1.088536,-1.570000
2.0000,0.246643,-0.345456,0.201687,2.565828,0.144464,1.091785,-1.570000
2.1000,0.259531,-0.337251,0.212219,2.566662,0.151522,1.094057,-1.570000
2.2000,0.272418,-0.329046,0.222751,2.567497,0.158580,1.096328,-1.570000
2.3000,0.285305,-0.320841,0.233284,2.568331,0.165637,1.098599,-1.570000
2.4000,0.298193,-0.312636,0.243816,2.569166,0.172695,1.100870,-1.570000
2.5000,0.311080,-0.304431,0.254348,2.570000,0.179753,1.103141,-1.570000
2.6000,0.324071,-0.296059,0.264950,2.569934,0.186625,1.104378,-1.570000
2.7000,0.337062,-0.287687,0.275552,2.569867,0.193496,1.105614,-1.570000
2.8000,0.350052,-0.279315,0.286153,2.569801,0.200368,1.106851,-1.570000
2.9000,0.363043,-0.270943,0.296755,2.569734,0.207240,1.108087,-1.570000
3.0000,0.376034,-0.262571,0.307357,2.569668,0.214111,1.109324,-1.570000
3.1000,0.389060,-0.254047,0.317969,2.568653,0.220740,1.109572,-1.570000
3.2000,0.402087,-0.245524,0.328582,2.567638,0.227368,1.109820,-1.570000
3.3000,0.415114,-0.237001,0.339194,2.566623,0.233997,1.110069,-1.570000
3.4000,0.428141,-0.228477,0.349807,2.565607,0.240625,1.110317,-1.570000
3.5000,0.441168,-0.219954,0.360419,2.564592,0.247254,1.110566,-1.570000
3.6000,0.454165,-0.211291,0.370984,2.562615,0.253580,1.109854,-1.570000
3.7000,0.467161,-0.202629,0.381549,2.560639,0.259906,1.109143,-1.570000
3.8000,0.480158,-0.193966,0.392113,2.558662,0.266232,1.108432,-1.570000
3.9000,0.493154,-0.185303,0.402678,2.556685,0.272558,1.107720,-1.570000
4.0000,0.506151,-0.176641,0.413243,2.554708,0.278884,1.107009,-1.570000
4.1000,0.519051,-0.167847,0.423701,2.551778,0.284849,1.105358,-1.570000
4.2000,0.531951,-0.159054,0.434160,2.548848,0.290814,1.103707,-1.570000
4.3000,0.544851,-0.150261,0.444618,2.545917,0.296779,1.102056,-1.570000
4.4000,0.557751,-0.141468,0.455077,2.542987,0.302744,1.100405,-1.570000
4.5000,0.570651,-0.132674,0.465535,2.540057,0.308708,1.098754,-1.570000
4.6000,0.583387,-0.123757,0.475829,2.536196,0.314256,1.096180,-1.570000
4.7000,0.596123,-0.114839,0.486122,2.532336,0.319804,1.093607,-1.570000
4.8000,0.608860,-0.105921,0.496415,2.528475,0.325352,1.091033,-1.570000
4.9000,0.621596,-0.097004,0.506709,2.524615,0.330899,1.088460,-1.570000
5.0000,0.634333,-0.088086,0.517002,2.520755,0.336447,1.085886,-1.570000
5.1000,0.646784,-0.079087,0.527028,2.516019,0.341503,1.082421,-1.570000
5.2000,0.659236,-0.070088,0.537053,2.511284,0.346560,1.078957,-1.570000
5.3000,0.671687,-0.061089,0.547078,2.506549,0.351616,1.075492,-1.570000
5.4000,0.684139,-0.052090,0.557104,2.501814,0.356672,1.072028,-1.570000
5.5000,0.696590,-0.043090,0.567129,2.497079,0.361728,1.068563,-1.570000
5.6000,0.708597,-0.034086,0.576755,2.491571,0.366218,1.064272,-1.570000
5.7000,0.720604,-0.025081,0.586380,2.486062,0.370707,1.059982,-1.570000
5.8000,0.732611,-0.016077,0.596006,2.480553,0.375196,1.055691,-1.570000
5.9000,0.744618,-0.007073,0.605631,2.475045,0.379685,1.051401,-1.570000
6.0000,0.756625,0.001932,0.615257,2.469536,0.384174,1.047110,-1.570000
6.1000,0.768056,0.010879,0.624375,2.463370,0.388048,1.042073,-1.570000
6.2000,0.779488,0.019825,0.633494,2.457203,0.391921,1.037036,-1.570000
6.3000,0.790920,0.028772,0.642612,2.451037,0.395795,1.031999,-1.570000
6.4000,0.802351,0.037719,0.651731,2.444871,0.399669,1.026962,-1.570000
6.5000,0.813783,0.046665,0.660849,2.438704,0.403542,1.021924,-1.570000
6.6000,0.824536,0.055503,0.669377,2.432000,0.406774,1.016226,-1.570000
6.7000,0.835288,0.064340,0.677905,2.425296,0.410007,1.010527,-1.570000
6.8000,0.846041,0.073177,0.686433,2.418592,0.413239,1.004829,-1.570000
6.9000,0.856793,0.082015,0.694961,2.411887,0.416471,0.999130,-1.570000
7.0000,0.867546,0.090852,0.703489,2.405183,0.419703,0.993432,-1.570000
7.1000,0.877538,0.099538,0.711363,2.398056,0.422286,0.987158,-1.570000
7.2000,0.887531,0.108224,0.719237,2.390930,0.424870,0.980883,-1.570000
7.3000,0.897523,0.116910,0.727110,2.383803,0.427453,0.974609,-1.570000
7.4000,0.907515,0.125596,0.734984,2.376677,0.430036,0.968335,-1.570000
7.5000,0.917508,0.134282,0.742858,2.369550,0.432620,0.962060,-1.570000
7.6000,0.926677,0.142783,0.750030,2.362108,0.434560,0.955293,-1.570000
7.7000,0.935847,0.151283,0.757202,2.354666,0.436500,0.948525,-1.570000
7.8000,0.945016,0.159784,0.764374,2.347224,0.438441,0.941757,-1.570000
7.9000,0.954186,0.168285,0.771546,2.339782,0.440381,0.934989,-1.570000
8.0000,0.963355,0.176786,0.778718,2.332340,0.442322,0.928221,-1.570000
8.1000,0.971654,0.185073,0.785154,2.324680,0.443635,0.921036,-1.570000
8.2000,0.979952,0.193360,0.791591,2.317019,0.444949,0.913852,-1.570000
8.3000,0.988251,0.201647,0.798027,2.309358,0.446263,0.906667,-1.570000
8.4000,0.996549,0.209934,0.804464,2.301697,0.447576,0.899482,-1.570000
8.5000,1.004848,0.218221,0.810900,2.294036,0.448890,0.892297,-1.570000
