length,closeness,alpha
0.5725261766229208,2.537669870024908,0.0
0.3828268877710461,2.537669870024908,0.01
0.38609564122275075,2.5377804115458202,0.02
0.3779752362993274,2.537669870024908,0.03
0.3392630251847224,2.537669870024908,0.04
0.38032545635535975,2.5377115754743467,0.05
0.36097175350365607,2.5383416312885454,0.06
0.33274954545071966,2.537670053391836,0.07
0.28196013468470404,2.5376712552359635,0.08
0.2988714289430401,2.5376779346139027,0.09
0.2773603846174142,2.5376709820941583,0.1
0.27786661425441483,2.537669870024908,0.11
0.28370551784273834,2.537673825325061,0.12
0.14969170741874982,4.6228143158935024,0.13
0.27590658428134773,2.5376698848636385,0.14
0.27518449412615387,2.537669870024908,0.15
0.27625296534881416,2.537674400134822,0.16
0.14969170741874982,4.6228143158935024,0.17
0.27834087029849663,2.537733535497889,0.18
0.27530359452965025,2.5377047898338554,0.19
0.14969170741874982,4.6228143158935024,0.2
0.27709931376931274,2.537671998364647,0.21
0.14969170741874982,4.6228143158935024,0.22
0.27468598476260464,2.5376699439840116,0.23
0.27642865084700774,2.5377638803513536,0.24
0.27786976008594455,2.537669870024908,0.25
0.27437446085330874,2.5378161619926622,0.26
0.27348790095987785,2.5376827175381242,0.27
0.2744180208649525,2.5379323346983416,0.28
0.2741128535807613,2.537881003242631,0.29
0.27340236520111905,2.5376790145773707,0.3
0.275116135779663,2.537669870024908,0.31
0.27508150373547013,2.5377695762527095,0.32
0.14969170741874982,4.6228143158935024,0.33
0.27409659964506505,2.5376699025161225,0.34
0.2777952729367916,2.537669870024908,0.35000000000000003
0.27687986984975654,2.537669870024908,0.36
0.2750202493027907,2.537669870024908,0.37
0.14969170741874982,4.6228143158935024,0.38
0.27322564879468203,2.5384645759468754,0.39
0.14969170741874982,4.6228143158935024,0.4
0.2747945575741053,2.537669870024908,0.41000000000000003
0.273544070293529,2.537670197640344,0.42
0.27578666844099686,2.5376701130202037,0.43
0.2740145549930326,2.537669870024908,0.44
0.27466270012696925,2.537669870024908,0.45
0.2740439450583685,2.5376853609658347,0.46
0.2751722259052962,2.537669870024908,0.47000000000000003
0.21514526829031233,2.7734280846432533,0.48
0.27347301419928094,2.537826543683974,0.49
0.2737511671568036,2.53767880670633,0.5
0.2748051116612291,2.537669870024908,0.51
0.2747574688149803,2.5376848266626655,0.52
0.273621906301317,2.537669870024908,0.53
0.27388717884880664,2.537669870024908,0.54
0.2749556291466817,2.537669870024908,0.55
0.27509362143429783,2.5380056576551184,0.56
0.2743160719755604,2.537669870024908,0.5700000000000001
0.27389411882516046,2.537669870024908,0.58
0.2557330821212016,2.5797713805636784,0.59
0.27440839693871366,2.537669870024908,0.6
0.14969170741874982,4.6228143158935024,0.61
0.2749821605958278,2.537669870024908,0.62
0.2736078927287622,2.537669870024908,0.63
0.23520372939288436,2.6510666497511384,0.64
0.2736406946359953,2.5394849713138976,0.65
0.2722974709117145,2.540266509825299,0.66
0.27283893387542824,2.539521586273908,0.67
0.2628011541827808,2.5629403335818033,0.68
0.21764476195467797,2.7460137689421535,0.6900000000000001
0.19315257663901853,2.952743471077329,0.7000000000000001
0.25807683181455787,2.574036071786542,0.71
0.24660086713463736,2.6087118197849155,0.72
0.2553438498302416,2.581178843870601,0.73
0.25272148277504325,2.5888393264178733,0.74
0.24975906523758185,2.5977413157060534,0.75
0.24788722096439253,2.603593902148767,0.76
0.14969170741874982,4.6228143158935024,0.77
0.24135678732408672,2.6262626273047767,0.78
0.2329595436488423,2.659744960000092,0.79
0.22392800347122943,2.7075516227687206,0.8
0.2327915381129395,2.6601408461566676,0.81
0.20524906332163595,2.8328805752195243,0.8200000000000001
0.2270851136597518,2.690065346564892,0.8300000000000001
0.17722634229624412,3.1839242762289497,0.84
0.20526397788837336,2.8340004432556953,0.85
0.21730113064351642,2.744996786678835,0.86
0.212450875258535,2.778011796827439,0.87
0.20933314962976035,2.800389619773214,0.88
0.20438621953318248,2.8419557947408505,0.89
0.19871097523468984,2.8931771832003825,0.9
0.19500813894917357,2.9306006976416525,0.91
0.1889850567164717,3.000081800176466,0.92
0.1744623583316416,3.2200240385895644,0.93
0.15616299856678517,3.688009938023166,0.9400000000000001
0.16920943297939783,3.3223210900023363,0.9500000000000001
0.16084779008057515,3.547993478703393,0.96
0.15534878364714455,3.7216581223356138,0.97
0.1531833599955419,3.8435362493526695,0.98
0.1531000165989358,3.8532454176299713,0.99
0.14969170741874982,4.6228143158935024,1.0
