length,closeness,alpha
0.24908404509307847,2.877937601016683,0.0
0.25709659036719734,2.877937601016683,0.01
0.2749351392852346,2.877937601016683,0.02
0.2754879309991587,2.877937601016683,0.03
0.31522260022004067,2.877937601016683,0.04
0.21182652076152797,2.877937601016683,0.05
0.31806598098735095,2.877937601016683,0.06
0.3317813232175524,2.877937601016683,0.07
0.31150922357108657,2.877937601016683,0.08
0.21474050249178123,2.877937601016683,0.09
0.29256628906122795,2.877937601016683,0.1
0.38971908385745424,2.877937601016683,0.11
0.3364896662006116,2.877937601016683,0.12
0.21195176351647427,2.877937601016683,0.13
0.33805725166670175,2.877937601016683,0.14
0.2372610968117792,2.877937601016683,0.15
0.40195227026926617,2.877937601016683,0.16
0.3235793166651426,2.8779386473993283,0.17
0.3546211020322685,2.877937601016683,0.18
0.36690392961863316,2.877937601016683,0.19
0.3610542077244421,2.877937601016683,0.2
0.43102892596152764,2.877937601016683,0.21
0.23169367327209933,2.877937601016683,0.22
0.22127214847340082,2.877937601016683,0.23
0.3478229763245293,2.877937601016683,0.24
0.35222277633435395,2.877937601016683,0.25
0.3459947344530818,2.877937601016683,0.26
0.36892497059965423,2.8779385984050903,0.27
0.4024579356842244,2.877937601016683,0.28
0.37424076471944967,2.877937601016683,0.29
0.21835601052747444,2.877937601016683,0.3
0.49891854496050136,2.8779403046039964,0.31
0.3264617252960038,2.877937601016683,0.32
0.20606626804676909,2.877937601016683,0.33
0.5253849629406724,2.877937601016683,0.34
0.46006159942107794,2.877937601016683,0.35000000000000003
0.2109645401540461,2.877937601016683,0.36
0.23709377495871875,2.877937601016683,0.37
0.29329619397622175,2.877937601016683,0.38
0.24926152620693642,2.877937601016683,0.39
0.3413721397597913,2.877937601016683,0.4
0.3909504129417207,2.877937601016683,0.41000000000000003
0.35330393205247534,2.877937601016683,0.42
0.31387451124669585,2.877937601016683,0.43
0.20630167261508547,2.877937601016683,0.44
0.3358212029654526,2.877937601016683,0.45
0.21408023213978145,2.877937601016683,0.46
0.35124665270044164,2.877937601016683,0.47000000000000003
0.33984867368463334,2.877937601016683,0.48
0.2738416106155963,2.877937601016683,0.49
0.3047912191742592,2.877937601016683,0.5
0.33842165461179063,2.877937601016683,0.51
0.34181950914685655,2.877937601016683,0.52
0.21823471690037866,2.877937601016683,0.53
0.3661171500280982,2.877937601016683,0.54
0.3401463802737865,2.877937601016683,0.55
0.38041852108175145,2.877937601016683,0.56
0.33993093934359075,2.877937601016683,0.5700000000000001
0.21858058705623584,2.877937601016683,0.58
0.2195000231088471,2.877937601016683,0.59
0.3580054509581969,2.877937601016683,0.6
0.3229651293476121,2.877937601016683,0.61
0.33629636608794766,2.877937601016683,0.62
0.20862955245046422,2.877937601016683,0.63
0.3543531462751528,2.877942361224594,0.64
0.3063222325152466,2.877937601016683,0.65
0.21156346771576495,2.877937601016683,0.66
0.23783435684788623,2.877938027010033,0.67
0.33322629726927766,2.877937601016683,0.68
0.21313909568106704,2.877937601016683,0.6900000000000001
0.21549863287287985,2.8779411092643645,0.7000000000000001
0.21265725656465606,2.8779624778726007,0.71
0.3019391053527676,2.877937601016683,0.72
0.3279715336075637,2.877937601016683,0.73
0.24791216271257732,2.8779604144294666,0.74
0.26360482139518493,2.877937601016683,0.75
0.2722658067884338,2.877937601016683,0.76
0.23994222635550844,2.877937601016683,0.77
0.2849785718538753,2.877937601016683,0.78
0.2629778061553514,2.877937601016683,0.79
0.27791614833396094,2.8780745181744107,0.8
0.22977498348964254,2.877937601016683,0.81
0.21665707310588544,2.877937601016683,0.8200000000000001
0.21171934045740115,2.877937601016683,0.8300000000000001
0.20918669971227888,2.8779382212126947,0.84
0.23993515005434785,2.8779376124691427,0.85
0.23331202092494774,2.878196854332356,0.86
0.2296188571550668,2.8779423873778107,0.87
0.22176201733597667,2.877941524765709,0.88
0.2102129341017298,2.877937601016683,0.89
0.31921343227982946,2.877937601016683,0.9
0.2153390260071304,2.877937601016683,0.91
0.2502481187706669,2.877937601016683,0.92
0.21655855002345614,2.877937601016683,0.93
0.18375104643832385,2.8781132125742204,0.9400000000000001
0.16372635926768453,3.1101888053747073,0.9500000000000001
0.1550724055964876,3.455831786522291,0.96
0.15444529074316327,3.5053117062068284,0.97
0.1543044754684828,3.517926831862125,0.98
0.15427520538036443,3.520262126021787,0.99
0.15425515517690402,3.522395881799081,1.0
