length,closeness,alpha
0.6436472807913225,21.235868135905353,0.0
3.215100237987432,4.7970466774380105,0.01
3.2152257107999738,4.799068921983376,0.02
3.2153525697681555,4.801095685061696,0.03
3.21547985078983,4.803128292777782,0.04
3.2156085538188197,4.80516465807079,0.05
3.215737959327871,4.807206645191845,0.06
3.2158685037945878,4.809254007220192,0.07
0.6436472807913225,21.235868135905353,0.08
0.6436472807913225,21.235868135905353,0.09
0.6436472807913225,21.235868135905353,0.1
0.6436472807913225,21.235868135905353,0.11
3.2165355013964074,4.819565916709555,0.12
3.2166723076411605,4.821644101968563,0.13
0.6436472807913225,21.235868135905353,0.14
0.6436472807913225,21.235868135905353,0.15
3.217088737182112,4.827909648652844,0.16
3.2172298008373597,4.8300090353901535,0.17
3.217372126982225,4.8321137321648004,0.18
3.217515625265608,4.834223987994023,0.19
3.2176603191197968,4.836339840374794,0.2
3.217806439861296,4.83846081305749,0.21
3.2179539521875693,4.840587728126503,0.22
0.6436472807913225,21.235868135905353,0.23
3.218252387184611,4.844858114211696,0.24
3.2184035413808516,4.847002534768663,0.25
3.2185563991629706,4.8491515246590495,0.26
3.218710982720281,4.851306759254156,0.27
0.6436472807913225,21.235868135905353,0.28
3.219023001751557,4.855635226322374,0.29
3.2191814851681135,4.857808723300132,0.3
3.219341541005651,4.8599875111375335,0.31
0.6436472807913225,21.235868135905353,0.32
3.2196659573784565,4.864364021245631,0.33
3.2198305319027716,4.866561386997153,0.34
3.219996885116773,4.868765281743304,0.35000000000000003
3.220164788837703,4.870975370003209,0.36
0.6436472807913225,21.235868135905353,0.37
3.2205057522987826,4.8754150907933465,0.38
0.6436472807913225,21.235868135905353,0.39
3.2208536075787872,4.879880643061534,0.4
0.6436472807913225,21.235868135905353,0.41000000000000003
0.6436472807913225,21.235868135905353,0.42
3.221393298577338,4.886628919224812,0.43
0.6436472807913225,21.235868135905353,0.44
0.6436472807913225,21.235868135905353,0.45
0.6436472807913225,21.235868135905353,0.46
3.2221507850585978,4.895715158183184,0.47000000000000003
3.2223449660818515,4.898005824071326,0.48
0.6436472807913225,21.235868135905353,0.49
0.6436472807913225,21.235868135905353,0.5
3.2229389436553877,4.9049254752566895,0.51
3.223139294604138,4.90724817595757,0.52
3.2233464633167612,4.9095813816363725,0.53
3.2235487655914667,4.911919083750704,0.54
3.2237589141451837,4.9142672849483375,0.55
3.223969074400446,4.916625021397586,0.56
3.224179971957282,4.91898999813117,0.5700000000000001
3.2243945337580646,4.92136340563283,0.58
3.2246110990502075,4.923751609504353,0.59
3.22483498524048,4.926145262987783,0.6
3.1795519387958073,4.973145336906023,0.61
3.095330055557116,5.050275351254185,0.62
3.0146030399579518,5.132972743698589,0.63
2.9365807669982793,5.220588027910189,0.64
2.8609677291465054,5.313225782809898,0.65
2.7875713917694758,5.411167991214522,0.66
2.7166584154750533,5.515639784981669,0.67
2.647635918179421,5.626226324578141,0.68
2.5801595446017727,5.742935754307209,0.6900000000000001
2.5141316096185187,5.866307011704474,0.7000000000000001
2.44947400011579,5.996988054528973,0.71
2.386098797718265,6.135682610532928,0.72
2.3239198445531835,6.283190682483934,0.73
2.262973032518957,6.440769401568307,0.74
2.203237648023155,6.60971290041432,0.75
2.1443826061461984,6.7905449526092045,0.76
2.0866790756347604,6.985759806027248,0.77
2.0400645899589116,7.208165368053703,0.78
1.9745842923816195,7.427926191408979,0.79
1.9446199079189639,7.778479613700343,0.8
1.8812676526596883,8.02014079779722,0.81
1.8168635822285077,8.276822944342355,0.8200000000000001
1.485355308891641,7.251825007277716,0.8300000000000001
1.4154595088279533,7.431145719741952,0.84
1.4050022278928935,7.725775658793424,0.85
1.2935863242348304,7.945970338953685,0.86
1.237670409037023,8.28275159823367,0.87
1.1570820313947725,8.485263752599623,0.88
1.08929811502201,8.81337002723691,0.89
1.0318042692771323,9.285899270072907,0.9
0.9451348348186595,9.556360344722327,0.91
0.8713008078371014,10.019931921187943,0.92
0.8677493774813245,11.526066801424154,0.93
0.7301267847034909,11.43864692693547,0.9400000000000001
0.6807220577167128,12.929987750712645,0.9500000000000001
0.6763900181512315,13.109311001106082,0.96
