length,closeness,alpha
3.2205616893025555,2.815583657273933,0.0
3.2153985038069104,2.8156107452006243,0.01
3.2085746890536484,2.815716345493891,0.02
3.1993624178731705,2.815955065928439,0.03
3.1866651341192105,2.81641924233955,0.04
3.16910981431596,2.8172517159040793,0.05
3.144773766599668,2.818675464802243,0.06
3.1115480300188008,2.820994507736204,0.07
3.0690298533286704,2.8244485037542475,0.08
3.024351439369876,2.8285974136468606,0.09
2.9789628323555717,2.8333648076291897,0.1
2.933681349524874,2.838680067815467,0.11
2.889911170296707,2.8443628386933977,0.12
2.8493123691730275,2.850164135856357,0.13
2.8091664867252253,2.856426259883218,0.14
2.7715160934099896,2.862810853761978,0.15
2.734698136661496,2.869561552454865,0.16
2.7002802407051436,2.8763600817717196,0.17
2.665937353557574,2.8836450066590604,0.18
2.6329569670576722,2.891129183695025,0.19
2.601638551543667,2.8987137811624186,0.2
2.570961066123215,2.9066252762154297,0.21
2.540917299368514,2.9148521359594746,0.22
2.5121641315328738,2.9231981921472068,0.23
2.4834941473968657,2.9320063904438363,0.24
2.4553841768953575,2.941126693380028,0.25
2.428195935768324,2.9504313419649377,0.26
2.401860912764728,2.95992501278735,0.27
2.376294401842293,2.969621522812594,0.28
2.3507203364269227,2.9798156980781467,0.29
2.325618637279283,2.990318464352855,0.3
2.303169113389335,3.000164927591573,0.31
2.2803138803543406,3.0106802052277937,0.32
2.2566196405990224,3.022089797585877,0.33
2.2340159175295855,3.033469070686044,0.34
2.213278801262922,3.0443957105555857,0.35000000000000003
2.1908313433022406,3.0567497886087045,0.36
2.1688292180059476,3.0693960437013694,0.37
2.1470397138325366,3.082468900035831,0.38
2.125591715866992,3.095891206349098,0.39
2.1062199689570407,3.1085384830754417,0.4
2.0851123983917312,3.122906930061583,0.41000000000000003
2.064206526121264,3.137737514735312,0.42
2.0450378298427414,3.1518947694671073,0.43
2.0266811793582824,3.1660369921971916,0.44
2.0065272160991134,3.182198045324396,0.45
1.9863146937360883,3.199072326155065,0.46
1.9663305387622145,3.2164417317691254,0.47000000000000003
1.9465870309280273,3.234305016420664,0.48
1.9281570552136977,3.251649561238752,0.49
1.9108846383022593,3.268588152468794,0.5
1.8910188450146848,3.2888576386872987,0.51
1.8711590899902397,3.309945720361723,0.52
1.8540271225773015,3.3288766918104287,0.53
1.835407019314208,3.3503116134066655,0.54
1.816240450757801,3.3732696460383993,0.55
1.7971723513246083,3.397051576829406,0.56
1.7781956192412527,3.4217001043440853,0.5700000000000001
1.759311651647491,3.447249583165109,0.58
1.7404913381478977,3.4737804992663524,0.59
1.7234379434326743,3.498829695760194,0.6
1.7054872572789064,3.5263423575242996,0.61
1.6872670479215364,3.5554327339683023,0.62
1.670587636604953,3.5832394566485934,0.63
1.6517816065791648,3.6159600836606716,0.64
1.6323449241961052,3.651277445753344,0.65
1.6128572049405046,3.688279164687625,0.66
1.5932524309535747,3.727200681970341,0.67
1.5735430574352045,3.768139840079529,0.68
1.5538033332747485,3.8110706942487447,0.6900000000000001
1.534295068049044,3.8555143742206646,0.7000000000000001
1.51623732684949,3.8986744792677963,0.71
1.4984415980773877,3.9433054858265395,0.72
1.478588486980553,3.995677847292789,0.73
1.4582202092072083,4.0521783452050935,0.74
1.4377851578871264,4.111891064217195,0.75
1.4172605361254829,4.175151894373353,0.76
1.3960043610785888,4.244386623076873,0.77
1.373918408006801,4.32048181800775,0.78
1.3513607932968252,4.4028704378967864,0.79
1.3284055956088854,4.491921376018115,0.8
1.3089727503014896,4.572499378507372,0.81
1.2850682526547623,4.677850837410706,0.8200000000000001
1.2605895566737728,4.793298907355499,0.8300000000000001
1.235525520742799,4.920193877501977,0.84
1.209911775633929,5.059907718985652,0.85
1.1838005864623247,5.213969269391326,0.86
1.156441231365981,5.389402127620101,0.87
1.1292999366846832,5.579834196578187,0.88
1.099827863175149,5.806835277753972,0.89
1.0687038829512963,6.072510686042976,0.9
1.0360199883558847,6.384300304276311,0.91
1.002723765717556,6.743466833451032,0.92
0.9763239035879112,7.2453271655696,0.93
0.8595207783310639,9.716550734028061,0.9400000000000001
0.6746447478402828,11.771300203146703,0.9500000000000001
0.6664810030394968,11.944246264402748,0.96
0.6609583630975429,12.095870837698858,0.97
0.6436472807913225,21.235868135905353,1.0
