# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p300
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:07:44.506111
# Alpha: 0.3
# Length cost: 2.157980973894888
# Obstacle cost: 4.889206241468611
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
0.0000,0.000000,-0.500000,0.000000,2.500000,0.000000,1.000000,-1.570000
0.1000,0.011615,-0.492585,0.009582,2.504781,0.007496,1.006265,-1.570000
0.2000,0.023229,-0.485170,0.019165,2.509562,0.014991,1.012530,-1.570000
0.3000,0.034844,-0.477755,0.028747,2.514344,0.022487,1.018795,-1.570000
0.4000,0.046459,-0.470340,0.038329,2.519125,0.029982,1.025061,-1.570000
0.5000,0.058073,-0.462925,0.047912,2.523906,0.037478,1.031326,-1.570000
0.6000,0.070031,-0.455262,0.057793,2.527687,0.045016,1.036761,-1.570000
0.7000,0.081988,-0.447600,0.067675,2.531467,0.052554,1.042196,-1.570000
0.8000,0.093945,-0.439938,0.077557,2.535248,0.060092,1.047632,-1.570000
0.9000,0.105903,-0.432275,0.087439,2.539029,0.067630,1.053067,-1.570000
1.0000,0.117860,-0.424613,0.097321,2.542809,0.075168,1.058502,-1.570000
1.1000,0.130104,-0.416733,0.107450,2.545593,0.082712,1.063056,-1.570000
1.2000,0.142348,-0.408853,0.117578,2.548377,0.090256,1.067611,-1.570000
1.3000,0.154593,-0.400973,0.127707,2.551161,0.097800,1.072165,-1.570000
1.4000,0.166837,-0.393093,0.137835,2.553945,0.105344,1.076719,-1.570000
1.5000,0.179081,-0.385213,0.147964,2.556729,0.112887,1.081274,-1.570000
1.6000,0.191552,-0.377145,0.158282,2.558530,0.120407,1.084895,-1.570000
1.7000,0.204024,-0.369077,0.168600,2.560330,0.127926,1.088517,-1.570000
1.8000,0.216495,-0.361008,0.178918,2.562131,0.135445,1.092138,-1.570000
1.9000,0.228967,-0.352940,0.189237,2.563932,0.142964,1.095760,-1.570000
2.0000,0.241438,-0.344872,0.199555,2.565733,0.150484,1.099382,-1.570000
2.1000,0.254081,-0.336629,0.210011,2.566587,0.157916,1.102015,-1.570000
2.2000,0.266723,-0.328387,0.220467,2.567440,0.165349,1.104649,-1.570000
2.3000,0.279365,-0.320145,0.230923,2.568293,0.172782,1.107282,-1.570000
2.4000,0.292008,-0.311903,0.241379,2.569147,0.180214,1.109916,-1.570000
2.5000,0.304650,-0.303661,0.251835,2.570000,0.187647,1.112549,-1.570000
2.6000,0.317408,-0.295251,0.262377,2.569966,0.194916,1.114136,-1.570000
2.7000,0.330166,-0.286841,0.272920,2.569931,0.202186,1.115723,-1.570000
2.8000,0.342923,-0.278430,0.283463,2.569897,0.209455,1.117309,-1.570000
2.9000,0.355681,-0.270020,0.294005,2.569862,0.216724,1.118896,-1.570000
3.0000,0.368439,-0.261610,0.304548,2.569828,0.223994,1.120482,-1.570000
3.1000,0.381248,-0.253049,0.315120,2.568857,0.231036,1.121066,-1.570000
3.2000,0.394056,-0.244487,0.325692,2.567886,0.238078,1.121650,-1.570000
3.3000,0.406865,-0.235926,0.336264,2.566915,0.245120,1.122234,-1.570000
3.4000,0.419673,-0.227365,0.346836,2.565944,0.252162,1.122818,-1.570000
3.5000,0.432482,-0.218803,0.357408,2.564974,0.259204,1.123402,-1.570000
3.6000,0.445277,-0.210104,0.367953,2.563053,0.265954,1.123010,-1.570000
3.7000,0.458073,-0.201404,0.378498,2.561132,0.272703,1.122619,-1.570000
3.8000,0.470869,-0.192704,0.389043,2.559212,0.279452,1.122227,-1.570000
3.9000,0.483665,-0.184005,0.399587,2.557291,0.286202,1.121835,-1.570000
4.0000,0.496460,-0.175305,0.410132,2.555370,0.292951,1.121443,-1.570000
4.1000,0.509180,-0.166478,0.420592,2.552507,0.299343,1.120095,-1.570000
4.2000,0.521899,-0.157650,0.431053,2.549644,0.305734,1.118747,-1.570000
4.3000,0.534618,-0.148822,0.441514,2.546781,0.312126,1.117399,-1.570000
4.4000,0.547337,-0.139995,0.451974,2.543918,0.318518,1.116051,-1.570000
4.5000,0.560057,-0.131167,0.462435,2.541055,0.324910,1.114702,-1.570000
4.6000,0.572607,-0.122239,0.472730,2.537281,0.330868,1.112419,-1.570000
4.7000,0.585157,-0.113312,0.483025,2.533506,0.336826,1.110135,-1.570000
4.8000,0.597707,-0.104385,0.493321,2.529731,0.342785,1.107851,-1.570000
4.9000,0.610256,-0.095457,0.503616,2.525957,0.348743,1.105567,-1.570000
5.0000,0.622806,-0.086530,0.513912,2.522182,0.354702,1.103284,-1.570000
5.1000,0.635034,-0.077576,0.523912,2.517570,0.360133,1.100111,-1.570000
5.2000,0.647262,-0.068621,0.533913,2.512959,0.365564,1.096939,-1.570000
5.3000,0.659489,-0.059667,0.543914,2.508347,0.370996,1.093766,-1.570000
5.4000,0.671717,-0.050713,0.553914,2.503735,0.376427,1.090593,-1.570000
